make,model,mileage,price,price_label,registration,fuel,country,power_hp,country_name,page
audi,a3,19970,23480,top-price,08-2022,2,d,204,germany,7
audi,a3,7637,33990,top-price,11-2024,b,d,150,germany,7
audi,a3,89450,27680,somewhat-expensive,04-2021,d,d,150,germany,7
audi,a3,48336,17990,top-price,05-2020,b,d,150,germany,7
audi,a3,14450,24870,unknown,05-2023,b,d,150,germany,7
audi,a3,2700,30999,top-price,07-2025,b,d,116,germany,7
audi,a3,3878,39899,top-price,01-2025,b,d,150,germany,7
audi,a3,189296,17907,good-price,06-2021,d,d,150,germany,7
audi,a3,27800,28988,top-price,07-2024,b,d,150,germany,7
audi,a3,16783,25880,good-price,08-2023,b,d,110,germany,7
audi,a3,200000,10990,top-price,09-2019,b,d,150,germany,7
audi,a3,32481,23990,fair-price,10-2017,b,d,150,germany,7
audi,a3,9889,26480,top-price,12-2024,b,d,116,germany,7
audi,a3,64400,24799,fair-price,12-2022,2,d,204,germany,7
audi,a3,69000,22340,fair-price,07-2020,d,d,150,germany,7
audi,a3,10,39666,unknown,11-2025,b,d,204,germany,7
audi,a3,37700,25000,good-price,12-2021,d,d,150,germany,7
audi,a3,107987,17190,top-price,04-2019,b,d,150,germany,7
audi,a3,45975,16890,top-price,06-2020,b,d,116,germany,7
audi,a3,37816,22990,top-price,10-2021,b,d,150,germany,8
audi,a3,53018,22980,good-price,08-2022,2,d,204,germany,8
audi,a3,78450,34749,fair-price,05-2023,d,d,200,germany,8
audi,a3,54500,19490,fair-price,02-2016,2,d,204,germany,8
audi,a3,30449,26850,fair-price,09-2022,2,d,204,germany,8
audi,a3,124132,13900,good-price,08-2014,2,d,150,germany,8
audi,a3,136121,16300,fair-price,04-2018,b,d,150,germany,8
audi,a3,16980,29980,top-price,01-2025,b,d,150,germany,8
audi,a3,20700,33830,fair-price,05-2023,2,d,245,germany,8
audi,a3,38100,24699,good-price,07-2022,d,d,116,germany,8
audi,a3,27896,27940,fair-price,06-2022,2,d,245,germany,8
audi,a3,10550,33980,top-price,10-2024,d,d,150,germany,8
audi,a3,77390,19490,good-price,12-2020,2,d,204,germany,8
audi,a3,56924,24480,top-price,04-2024,d,d,116,germany,8
audi,a3,61800,22710,fair-price,11-2022,2,d,204,germany,8
audi,a3,72905,24990,top-price,08-2022,d,d,150,germany,8
audi,a3,41450,26880,fair-price,12-2021,b,d,150,germany,8
audi,a3,7800,29810,top-price,05-2025,b,d,116,germany,8
audi,a3,4900,33970,top-price,10-2024,b,d,150,germany,8
audi,a3,4566,32990,top-price,02-2025,b,d,150,germany,8
audi,a3,18900,34900,unknown,12-2024,b,d,150,germany,9
audi,a3,33441,22915,good-price,08-2022,2,d,204,germany,9
audi,a3,14,37990,unknown,08-2025,d,d,150,germany,9
audi,a3,19000,32928,top-price,09-2024,d,d,150,germany,9
audi,a3,2176,34830,good-price,06-2025,b,d,150,germany,9
audi,a3,70000,25900,somewhat-expensive,01-2022,d,d,116,germany,9
audi,a3,13438,25980,top-price,12-2020,2,d,204,germany,9
audi,a3,71095,25999,good-price,12-2022,b,d,150,germany,9
audi,a3,68775,16790,top-price,01-2019,b,d,150,germany,9
